SYMBOL	DATE	TIME	PRICE
SNDK	20000424	10:30:02	87
SSRI	20000424	10:30:02	1.8125
SUNW	20000424	10:30:02	83.0625
SUNW	20000424	10:30:02	83
SWY	20000424	10:30:02	47.5625
T	20000424	10:30:02	48.6875
TAN	20000424	10:30:02	55
TERN	20000424	10:30:02	76.4375
TFD	20000424	10:30:02	20.875
TQNT	20000424	10:30:02	73.6875
TSP	20000424	10:30:02	25.1875
UCOMA	20000424	10:30:02	48.0625
VERT	20000424	10:30:02	41.640625
VERT	20000424	10:30:02	41.390625
VERT	20000424	10:30:02	41.578125
VERT	20000424	10:30:02	41.578125
VIGN	20000424	10:30:02	40.6875
VIGN	20000424	10:30:02	40.625
VSTR	20000424	10:30:02	86.25
VTSS	20000424	10:30:02	53
WCOM	20000424	10:30:02	40.125
XLNX	20000424	10:30:02	62.25
YHOO	20000424	10:30:02	112.5625
AFCI	20000424	10:30:03	42.375
AFFX	20000424	10:30:03	115
AFFX	20000424	10:30:03	115.03125
AMAT	20000424	10:30:03	87.875
AMZN	20000424	10:30:03	46.890625
AMZN	20000424	10:30:03	46.890625
ANCR	20000424	10:30:03	20.5
ARBA	20000424	10:30:03	60.5625
ARTG	20000424	10:30:03	49.875
ATHM	20000424	10:30:03	17.0625
BFRE	20000424	10:30:03	12.3125
BRCM	20000424	10:30:03	142.28125
BVSN	20000424	10:30:03	32.1875
BVSN	20000424	10:30:03	32.1875
CBMI	20000424	10:30:03	6.125
CHKP	20000424	10:30:03	151
CLPA	20000424	10:30:03	23.5
CLPA	20000424	10:30:03	23.5
CMVT	20000424	10:30:03	74.875
CSCO	20000424	10:30:03	61.125
CSCO	20000424	10:30:03	61.109375
CSCO	20000424	10:30:03	61.0625
CSCO	20000424	10:30:03	61.109375
CYBR	20000424	10:30:03	11.875
DUK	20000424	10:30:03	57.875
DURA	20000424	10:30:03	11.625
ECGO	20000424	10:30:03	0.375
EFAX	20000424	10:30:03	2.625
EFAX	20000424	10:30:03	2.625
EMLX	20000424	10:30:03	41.75
ENTU	20000424	10:30:03	37.171875
GBLX	20000424	10:30:03	25.125
GBLX	20000424	10:30:03	25.125
GICOF	20000424	10:30:03	20
HELE	20000424	10:30:03	6.28125
HLYW	20000424	10:30:03	7
HLYW	20000424	10:30:03	7
IARC	20000424	10:30:03	9.125
IDTI	20000424	10:30:03	40
IFMX	20000424	10:30:03	10.625
INTC	20000424	10:30:03	110.75
ITWO	20000424	10:30:03	96
JDSU	20000424	10:30:03	79.6875
KLAC	20000424	10:30:03	61.9375
KOPN	20000424	10:30:03	50.6875
MMC	20000424	10:30:03	96.6875
MOT	20000424	10:30:03	106.625
MRK	20000424	10:30:03	71
MSFT	20000424	10:30:03	65.875
MSFT	20000424	10:30:03	65.875
MSFT	20000424	10:30:03	65.9375
MSFT	20000424	10:30:03	65.9375
MSFT	20000424	10:30:03	65.9375
MSFT	20000424	10:30:03	65.9375
MSFT	20000424	10:30:03	65.9375
MSFT	20000424	10:30:03	65.875
MSFT	20000424	10:30:03	65.875
MSFT	20000424	10:30:03	65.875
MSFT	20000424	10:30:03	65.875
MSFT	20000424	10:30:03	65.875
MWD	20000424	10:30:03	75
NCC	20000424	10:30:03	18.0625
NEON	20000424	10:30:03	27.0625
NERX	20000424	10:30:03	12.5625
NITE	20000424	10:30:03	33
NSOL	20000424	10:30:03	110.9375
NXTL	20000424	10:30:03	103.25
ORCL	20000424	10:30:03	68.4375
ORCL	20000424	10:30:03	68.484375
PALM	20000424	10:30:03	28.125
